_id,user_id,results,createdAt,updatedAt,__v
65fb4072eddf897ea3091aab,4edf0ff5-b5aa-4957-9431-4fbf4cacaf6a,"{'gender': 'Male', 'age': 23, 'qualification': 'High school diploma or equivalent degree', 'occupation': 'Student', 'enjoy': 'Bassd scho', 'Vp-stunden': False}",2024-03-20 20:00:50.629,2024-03-20 20:00:50.629,0
65fb5b4172a34e612b78e721,e0711a26-c616-463c-9b05-f0afaf871f31,"{'gender': 'Female', 'age': 25, 'qualification': 'High school diploma or equivalent degree', 'occupation': 'Student', 'enjoy': 'Yes', 'Vp-stunden': False}",2024-03-20 21:55:13.222,2024-03-20 21:55:13.222,0
65fbdb01bfa874c7f4238d01,15c09788-9078-4e28-9ec0-91d634c5b9ca,"{'gender': 'Male', 'age': 23, 'qualification': 'Bachelor’s degree', 'occupation': 'Working', 'enjoy': 'Yes', 'Vp-stunden': False}",2024-03-21 07:00:17.276,2024-03-21 07:00:17.276,0
65fbe6eeb5085a8eea447527,34f7c191-ff70-407c-b818-49e35cbb068f,"{'gender': 'Female', 'age': 24, 'qualification': 'High school diploma or equivalent degree', 'occupation': 'Student and working', 'enjoy': 'Yes :)', 'Vp-stunden': True, 'matrikel-nr': 'Elina Maier, 2162667'}",2024-03-21 07:51:10.246,2024-03-21 07:51:10.246,0
65fbf3b055a41b477058a790,2fbf76df-1101-4ac6-b75b-f49df2266232,"{'gender': 'Female', 'age': 23, 'qualification': 'High school diploma or equivalent degree', 'occupation': 'Student', 'enjoy': 'Yes, it was a pleasure to be a part of the experiment :).', 'Vp-stunden': False}",2024-03-21 08:45:36.124,2024-03-21 08:45:36.124,0
65fbf7c655a41b477058a7a2,fe53df51-c33e-4114-986c-c9efcca99259,"{'gender': 'Female', 'age': 28, 'qualification': 'Bachelor’s degree', 'occupation': 'Student', 'enjoy': 'loved it! ;)', 'Vp-stunden': False}",2024-03-21 09:03:02.850,2024-03-21 09:03:02.850,0
65fc04050b43e64c1851bdeb,525d6692-2c89-4871-b945-28f5d35a789b,"{'gender': 'Male', 'age': 24, 'qualification': 'High school diploma or equivalent degree', 'occupation': 'Studen & Freelancer', 'enjoy': 'Yes, i think its a nice study. I liked the UI design and the tasks were nicely chosen.', 'Vp-stunden': True, 'matrikel-nr': '2208194'}",2024-03-21 09:55:17.415,2024-03-21 09:55:17.415,0
65fc115ea7cb0f6660550c7a,d235cab9-2a67-4667-8857-a51566cffaf7,"{'gender': 'Female', 'age': 25, 'qualification': 'Bachelor’s degree', 'occupation': 'Student', 'enjoy': 'Yes', 'Vp-stunden': True, 'matrikel-nr': 'Mai Phuong Ngo - 3286779'}",2024-03-21 10:52:14.721,2024-03-21 10:52:14.721,0
65fc2cf77c343b1278a82a41,7c2b4159-df97-40a1-8376-23df2a4711ba,"{'gender': 'Female', 'age': 24, 'qualification': 'Bachelor’s degree', 'occupation': 'Working', 'enjoy': 'Yes', 'Vp-stunden': False}",2024-03-21 12:49:59.484,2024-03-21 12:49:59.484,0
65fc41339794d7470f1409b5,d80ef3e3-ebb7-40a5-9ce1-812e754809aa,"{'gender': 'Female', 'age': 24, 'qualification': 'Bachelor’s degree', 'occupation': 'Working', 'enjoy': 'Yes a lot', 'Vp-stunden': False}",2024-03-21 14:16:19.721,2024-03-21 14:16:19.721,0
