_id,user_id,task_id,results,createdAt,updatedAt,__v
65fb3e07eddf897ea3091a85,4edf0ff5-b5aa-4957-9431-4fbf4cacaf6a,task1,"{'familiarity': 3, 'complexity': 3}",2024-03-20 19:50:31.350,2024-03-20 19:50:31.350,0
65fb3f37eddf897ea3091a93,4edf0ff5-b5aa-4957-9431-4fbf4cacaf6a,task2,"{'familiarity': 1, 'complexity': 5}",2024-03-20 19:55:35.289,2024-03-20 19:55:35.289,0
65fb3fb6eddf897ea3091a9b,4edf0ff5-b5aa-4957-9431-4fbf4cacaf6a,task4,"{'familiarity': 3, 'complexity': 6}",2024-03-20 19:57:42.645,2024-03-20 19:57:42.645,0
65fb401eeddf897ea3091aa3,4edf0ff5-b5aa-4957-9431-4fbf4cacaf6a,task3,"{'familiarity': 4, 'complexity': 5}",2024-03-20 19:59:26.667,2024-03-20 19:59:26.667,0
65fb53bf72a34e612b78e6e9,e0711a26-c616-463c-9b05-f0afaf871f31,task2,"{'familiarity': 4, 'complexity': 2}",2024-03-20 21:23:11.879,2024-03-20 21:23:11.879,0
65fb54f372a34e612b78e6f9,e0711a26-c616-463c-9b05-f0afaf871f31,task3,"{'familiarity': 5, 'complexity': 4}",2024-03-20 21:28:19.704,2024-03-20 21:28:19.704,0
65fb564372a34e612b78e705,e0711a26-c616-463c-9b05-f0afaf871f31,task1,"{'familiarity': 3, 'complexity': 3}",2024-03-20 21:33:55.343,2024-03-20 21:33:55.343,0
65fb592172a34e612b78e711,e0711a26-c616-463c-9b05-f0afaf871f31,task4,"{'familiarity': 2, 'complexity': 5}",2024-03-20 21:46:09.429,2024-03-20 21:46:09.429,0
65fbd450bfa874c7f4238ccd,15c09788-9078-4e28-9ec0-91d634c5b9ca,task3,"{'familiarity': 7, 'complexity': 2}",2024-03-21 06:31:44.589,2024-03-21 06:31:44.589,0
65fbd712bfa874c7f4238cdb,15c09788-9078-4e28-9ec0-91d634c5b9ca,task4,"{'familiarity': 7, 'complexity': 2}",2024-03-21 06:43:30.461,2024-03-21 06:43:30.461,0
65fbd90abfa874c7f4238ce9,15c09788-9078-4e28-9ec0-91d634c5b9ca,task2,"{'familiarity': 1, 'complexity': 6}",2024-03-21 06:51:54.098,2024-03-21 06:51:54.098,0
65fbda2bbfa874c7f4238cf5,15c09788-9078-4e28-9ec0-91d634c5b9ca,task1,"{'familiarity': 6, 'complexity': 3}",2024-03-21 06:56:43.020,2024-03-21 06:56:43.020,0
65fbe3b9b5085a8eea4474fd,34f7c191-ff70-407c-b818-49e35cbb068f,task4,"{'familiarity': 2, 'complexity': 3}",2024-03-21 07:37:29.400,2024-03-21 07:37:29.400,0
65fbe493b5085a8eea447507,34f7c191-ff70-407c-b818-49e35cbb068f,task1,"{'familiarity': 5, 'complexity': 2}",2024-03-21 07:41:07.511,2024-03-21 07:41:07.511,0
65fbe52fb5085a8eea447511,34f7c191-ff70-407c-b818-49e35cbb068f,task3,"{'familiarity': 5, 'complexity': 5}",2024-03-21 07:43:43.418,2024-03-21 07:43:43.418,0
65fbe658b5085a8eea44751f,34f7c191-ff70-407c-b818-49e35cbb068f,task2,"{'familiarity': 2, 'complexity': 2}",2024-03-21 07:48:40.943,2024-03-21 07:48:40.943,0
65fbec9155a41b477058a749,2fbf76df-1101-4ac6-b75b-f49df2266232,task1,"{'familiarity': 4, 'complexity': 5}",2024-03-21 08:15:13.917,2024-03-21 08:15:13.917,0
65fbee1655a41b477058a751,2fbf76df-1101-4ac6-b75b-f49df2266232,task2,"{'familiarity': 1, 'complexity': 6}",2024-03-21 08:21:42.147,2024-03-21 08:21:42.147,0
65fbeec455a41b477058a75b,2fbf76df-1101-4ac6-b75b-f49df2266232,task4,"{'familiarity': 1, 'complexity': 6}",2024-03-21 08:24:36.775,2024-03-21 08:24:36.775,0
65fbef2855a41b477058a762,fe53df51-c33e-4114-986c-c9efcca99259,task2,"{'familiarity': 2, 'complexity': 2}",2024-03-21 08:26:16.970,2024-03-21 08:26:16.970,0
65fbf08855a41b477058a76e,fe53df51-c33e-4114-986c-c9efcca99259,task3,"{'familiarity': 4, 'complexity': 3}",2024-03-21 08:32:08.350,2024-03-21 08:32:08.350,0
65fbf24c55a41b477058a778,2fbf76df-1101-4ac6-b75b-f49df2266232,task3,"{'familiarity': 1, 'complexity': 3}",2024-03-21 08:39:40.341,2024-03-21 08:39:40.341,0
65fbf2d355a41b477058a786,fe53df51-c33e-4114-986c-c9efcca99259,task1,"{'familiarity': 2, 'complexity': 7}",2024-03-21 08:41:55.845,2024-03-21 08:41:55.845,0
65fbf56155a41b477058a79a,fe53df51-c33e-4114-986c-c9efcca99259,task4,"{'familiarity': 1, 'complexity': 7}",2024-03-21 08:52:49.891,2024-03-21 08:52:49.891,0
65fc01920b43e64c1851bdc1,525d6692-2c89-4871-b945-28f5d35a789b,task4,"{'familiarity': 5, 'complexity': 6}",2024-03-21 09:44:50.896,2024-03-21 09:44:50.896,0
65fc024b0b43e64c1851bdd3,525d6692-2c89-4871-b945-28f5d35a789b,task1,"{'familiarity': 3, 'complexity': 2}",2024-03-21 09:47:55.995,2024-03-21 09:47:55.995,0
65fc03030b43e64c1851bddb,525d6692-2c89-4871-b945-28f5d35a789b,task3,"{'familiarity': 2, 'complexity': 4}",2024-03-21 09:50:59.509,2024-03-21 09:50:59.509,0
65fc03a00b43e64c1851bde3,525d6692-2c89-4871-b945-28f5d35a789b,task2,"{'familiarity': 1, 'complexity': 2}",2024-03-21 09:53:36.874,2024-03-21 09:53:36.874,0
65fc0da3a7cb0f6660550c36,d235cab9-2a67-4667-8857-a51566cffaf7,task1,"{'complexity': 2, 'familiarity': 2}",2024-03-21 10:36:19.134,2024-03-21 10:36:19.134,0
65fc0eafa7cb0f6660550c50,d235cab9-2a67-4667-8857-a51566cffaf7,task2,"{'familiarity': 1, 'complexity': 1}",2024-03-21 10:40:47.593,2024-03-21 10:40:47.593,0
65fc0f65a7cb0f6660550c5e,d235cab9-2a67-4667-8857-a51566cffaf7,task4,"{'familiarity': 1, 'complexity': 4}",2024-03-21 10:43:49.238,2024-03-21 10:43:49.238,0
65fc1044a7cb0f6660550c6c,d235cab9-2a67-4667-8857-a51566cffaf7,task3,"{'familiarity': 2, 'complexity': 2}",2024-03-21 10:47:32.461,2024-03-21 10:47:32.461,0
65fc25cd7c343b1278a82a0b,7c2b4159-df97-40a1-8376-23df2a4711ba,task2,"{'familiarity': 5, 'complexity': 5}",2024-03-21 12:19:25.132,2024-03-21 12:19:25.132,0
65fc27167c343b1278a82a19,7c2b4159-df97-40a1-8376-23df2a4711ba,task3,"{'familiarity': 6, 'complexity': 3}",2024-03-21 12:24:54.966,2024-03-21 12:24:54.966,0
65fc28347c343b1278a82a29,7c2b4159-df97-40a1-8376-23df2a4711ba,task1,"{'familiarity': 3, 'complexity': 6}",2024-03-21 12:29:40.740,2024-03-21 12:29:40.740,0
65fc28c87c343b1278a82a35,7c2b4159-df97-40a1-8376-23df2a4711ba,task4,"{'familiarity': 1, 'complexity': 7}",2024-03-21 12:32:08.847,2024-03-21 12:32:08.847,0
65fc36329794d7470f140985,d80ef3e3-ebb7-40a5-9ce1-812e754809aa,task3,"{'familiarity': 4, 'complexity': 6}",2024-03-21 13:29:22.164,2024-03-21 13:29:22.164,0
65fc3bd09794d7470f140999,d80ef3e3-ebb7-40a5-9ce1-812e754809aa,task4,"{'familiarity': 3, 'complexity': 6}",2024-03-21 13:53:20.312,2024-03-21 13:53:20.312,0
65fc3e9a9794d7470f1409a1,d80ef3e3-ebb7-40a5-9ce1-812e754809aa,task2,"{'familiarity': 1, 'complexity': 4}",2024-03-21 14:05:14.850,2024-03-21 14:05:14.850,0
65fc40129794d7470f1409ad,d80ef3e3-ebb7-40a5-9ce1-812e754809aa,task1,"{'familiarity': 3, 'complexity': 4}",2024-03-21 14:11:30.437,2024-03-21 14:11:30.437,0
65fc541ee39a158fac28069f,c5902c7b-a503-4f84-9636-0676d4234518,task4,"{'familiarity': 1, 'complexity': 5}",2024-03-21 15:37:02.832,2024-03-21 15:37:02.832,0
65fc553ae39a158fac2806a7,c5902c7b-a503-4f84-9636-0676d4234518,task1,"{'familiarity': 5, 'complexity': 1}",2024-03-21 15:41:46.273,2024-03-21 15:41:46.273,0
65fc55a0e39a158fac2806b1,c5902c7b-a503-4f84-9636-0676d4234518,task3,"{'familiarity': 2, 'complexity': 6}",2024-03-21 15:43:28.494,2024-03-21 15:43:28.494,0
65fc5604e39a158fac2806b9,c5902c7b-a503-4f84-9636-0676d4234518,task2,"{'familiarity': 1, 'complexity': 2}",2024-03-21 15:45:08.675,2024-03-21 15:45:08.675,0
65fd51857d88869ed14fdc2f,8331280f-4b3b-4285-8158-35a2fc40b5df,task2,"{'familiarity': 1, 'complexity': 5}",2024-03-22 09:38:13.272,2024-03-22 09:38:13.272,0
65fd528f7d88869ed14fdc3b,8331280f-4b3b-4285-8158-35a2fc40b5df,task3,"{'familiarity': 3, 'complexity': 2}",2024-03-22 09:42:39.152,2024-03-22 09:42:39.152,0
65fd53f27d88869ed14fdc4b,8331280f-4b3b-4285-8158-35a2fc40b5df,task1,"{'familiarity': 3, 'complexity': 2}",2024-03-22 09:48:34.802,2024-03-22 09:48:34.802,0
65fd54bc7d88869ed14fdc57,8331280f-4b3b-4285-8158-35a2fc40b5df,task4,"{'familiarity': 1, 'complexity': 1}",2024-03-22 09:51:56.571,2024-03-22 09:51:56.571,0
